path,region,hot,workload,mr,suffix,rejected,rejected.WorkloadF1,rejected.WorkloadF2,rejected.WorkloadF3,aborted,unexpected,completed,completed.WorkloadF1,completed.WorkloadF2,completed.WorkloadF3,total,avg,p0,p25,p50,p75,p90,p95,p99,p100,avg.WorkloadF1,p0.WorkloadF1,p25.WorkloadF1,p50.WorkloadF1,p75.WorkloadF1,p90.WorkloadF1,p95.WorkloadF1,p99.WorkloadF1,p100.WorkloadF1,avg.WorkloadF3,p0.WorkloadF3,p25.WorkloadF3,p50.WorkloadF3,p75.WorkloadF3,p90.WorkloadF3,p95.WorkloadF3,p99.WorkloadF3,p100.WorkloadF3,avg.WorkloadF2,p0.WorkloadF2,p25.WorkloadF2,p50.WorkloadF2,p75.WorkloadF2,p90.WorkloadF2,p95.WorkloadF2,p99.WorkloadF2,p100.WorkloadF2,scalefactor,terminals,time,rate,warmup,ood_index_page.WorkloadF2,ood_table.WorkloadF2,ood_tuple.WorkloadF2,other_aborts.WorkloadF2,deadlock.WorkloadF2,ood_index_page.WorkloadF3,ood_table.WorkloadF3,ood_tuple.WorkloadF3,other_aborts.WorkloadF3,deadlock.WorkloadF3,ood_index_page.WorkloadF1,ood_table.WorkloadF1,ood_tuple.WorkloadF1,other_aborts.WorkloadF1,deadlock.WorkloadF1,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput,unexpected.WorkloadF2,unexpected.WorkloadF3
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot10000-F-mr5-20240430-161215/2-eu-west-1-0,2-eu-west-1-0,10000,F,5,20240430-161215,5670,2630,2253.0,787.0,0,0,594779,565070,25373.0,4336.0,600449,14.54317065920321,2.972,4.241,4.68,5.299,6.379,82.893,232.8480800000001,772.089,5.339105462943868,3.035,4.22,4.628,5.191,5.791,6.436,12.609139999999897,318.008,276.3017646380821,226.87,231.20675,232.9405,237.65775,461.92109999999997,466.9628,695.5772900000001,772.089,174.18368900730215,80.413,84.748,226.672,230.404,242.21520000000007,313.076,463.4377,754.763,1000,96,90,50000,30,629.0,0.0,1495.0,129.0,0.0,243.0,0.0,522.0,22.0,0.0,0,0,0,2630,0,872,0,2017,2781,0,6608.632064805735,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot10000-F-mr5-20240430-161215/3-ap-northeast-1-0,3-ap-northeast-1-0,10000,F,5,20240430-161215,6199,2589,2749.0,861.0,0,0,534569,507573,23136.0,3860.0,540768,16.171771011053703,2.179,3.324,3.78,4.306,5.218,175.6638999999999,230.04929000000004,768.451,4.4567618055967575,2.223,3.304,3.727,4.214,4.72,5.254,11.807530000000027,298.37,279.1957386246122,222.26,226.474,228.06,239.234,453.0768,468.1732,681.01623,768.451,228.55993775969526,173.219,177.958,224.3945,227.38925,351.9104,404.48449999999997,543.4170800000041,750.988,1000,96,90,50000,30,541.0,0.0,2075.0,133.0,0.0,181.0,0.0,667.0,13.0,0.0,0,0,0,2589,0,722,0,2742,2735,0,5939.6431123992115,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot0-F-mr50-20240430-153607/1-us-east-1-0,1-us-east-1-0,1000000,F,50,20240430-153607,453,162,244.0,47.0,0,0,160472,80089,68915.0,11468.0,160925,71.72259654867037,1.294,3.968,78.275,176.164,178.29970000000003,179.387,209.87081000000023,463.539,4.394922139013284,2.57,3.62,3.97,4.481,5.122,5.617,7.948639999999985,247.566,181.7551877130123,175.172,177.88,178.722,179.7115,181.201,187.2891,268.73948,463.539,131.7769527110491,76.843,80.441,174.593,177.3275,178.643,179.987,243.39699999999954,448.466,1000,128,90,50000,30,0.0,0.0,185.0,59.0,0.0,0.0,0.0,39.0,8.0,0.0,0,0,0,162,0,0,0,224,229,0,1783.0103071369774,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot0-F-mr50-20240430-153607/2-eu-west-1-0,2-eu-west-1-0,1000000,F,50,20240430-153607,448,128,264.0,56.0,0,0,134726,67499,57473.0,9754.0,135174,85.41296832790978,1.146,3.737,16.182000000000002,225.036,227.561,228.776,247.31615,534.115,4.134497021948242,2.556,3.447,3.741,4.153,4.836,5.259,6.705,236.277,231.3010876940475,224.314,227.25549999999998,228.225,229.32350000000002,230.7878,235.09029999999998,310.40106,524.419,156.3128301406634,77.976,81.187,187.712,226.371,227.841,229.01350000000002,284.78120000000035,534.115,1000,128,90,50000,30,0.0,0.0,209.0,55.0,0.0,0.0,0.0,50.0,6.0,0.0,0,0,0,128,0,0,0,259,189,0,1496.9427076788477,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot0-F-mr50-20240430-153607/3-ap-northeast-1-0,3-ap-northeast-1-0,1000000,F,50,20240430-153607,457,135,269.0,53.0,0,0,109907,54992,47069.0,7846.0,110364,104.68748833565618,0.818,3.058,83.213,222.236,224.422,225.62709999999998,265.28836,744.69,3.6029551941889326,1.892,2.812,3.061,3.591,4.438,4.93,6.290089999999997,229.482,228.00566568652522,220.32,223.404,224.3485,225.51375000000002,227.3879,235.23069999999998,316.00025,485.911,202.51582648411545,171.16,175.157,221.107,223.57524999999998,225.161,227.0204,297.91007,744.69,1000,128,90,50000,30,0.0,0.0,225.0,44.0,0.0,0.0,0.0,44.0,9.0,0.0,0,0,0,135,0,0,0,269,188,0,1221.1867716766767,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot0-F-mr0-20240426-161224/1-us-east-1-0,1-us-east-1-0,1000000,F,0,20240426-161224,935,935,,,0,0,1014895,1014895,,,1015830,5.688292533741039,3.626,4.82,5.266,5.77,6.34,6.84,9.017369999999996,106.036,5.688292533741039,3.626,4.82,5.266,5.77,6.34,6.84,9.017369999999996,106.036,,,,,,,,,,,,,,,,,,,1000,64,90,50000,30,,,,,,,,,,,0,0,0,935,0,0,0,0,935,0,11276.536680330752,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot0-F-mr0-20240426-161224/2-eu-west-1-0,2-eu-west-1-0,1000000,F,0,20240426-161224,925,925,,,0,0,1028551,1028551,,,1029476,5.614672287031163,3.716,4.805,5.208,5.655,6.125,6.539,8.848,214.912,5.614672287031163,3.716,4.805,5.208,5.655,6.125,6.539,8.848,214.912,,,,,,,,,,,,,,,,,,,1000,64,90,50000,30,,,,,,,,,,,0,0,0,925,0,0,0,0,925,0,11428.23777644755,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot0-F-mr0-20240426-161224/3-ap-northeast-1-0,3-ap-northeast-1-0,1000000,F,0,20240426-161224,1087,1087,,,0,0,1110166,1110166,,,1111253,5.2047153849297345,3.319,4.399,4.804,5.247,5.75,6.168,8.401,103.47,5.2047153849297345,3.319,4.399,4.804,5.247,5.75,6.168,8.401,103.47,,,,,,,,,,,,,,,,,,,1000,64,90,50000,30,,,,,,,,,,,0,0,0,1087,0,0,0,0,1087,0,12335.043995865224,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot10000-F-mr0-20240430-161215/1-us-east-1-0,1-us-east-1-0,10000,F,0,20240430-161215,2120,2120,,,0,0,1001487,1001487,,,1003607,5.765615218459803,3.744,4.922,5.365,5.851,6.39,6.87,9.385040000000037,99.145,5.765615218459803,3.744,4.922,5.365,5.851,6.39,6.87,9.385040000000037,99.145,,,,,,,,,,,,,,,,,,,1000,64,90,50000,30,,,,,,,,,,,0,0,0,2120,0,0,0,0,2120,0,11127.559872150407,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot10000-F-mr0-20240430-161215/2-eu-west-1-0,2-eu-west-1-0,10000,F,0,20240430-161215,2150,2150,,,0,0,971702,971702,,,973852,5.942971786820863,3.914,5.106,5.563,6.041,6.623,7.124,9.595,229.092,5.942971786820863,3.914,5.106,5.563,6.041,6.623,7.124,9.595,229.092,,,,,,,,,,,,,,,,,,,1000,64,90,50000,30,,,,,,,,,,,0,0,0,2150,0,0,0,0,2150,0,10796.572564096883,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot10000-F-mr0-20240430-161215/3-ap-northeast-1-0,3-ap-northeast-1-0,10000,F,0,20240430-161215,2437,2437,,,0,0,1106149,1106149,,,1108586,5.223689503243834,3.397,4.465,4.858,5.299,5.798,6.202,8.34,83.635,5.223689503243834,3.397,4.465,4.858,5.299,5.798,6.202,8.34,83.635,,,,,,,,,,,,,,,,,,,1000,64,90,50000,30,,,,,,,,,,,0,0,0,2437,0,0,0,0,2437,0,12290.451464174785,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr5-20240513-234414/1-us-east-1-0,1-us-east-1-0,1000,F,5,20240513-234414,26622,13578,9839.0,3205.0,0,6,526588,501529,21874.0,3185.0,553216,16.390568984178984,2.582,3.836,4.269,4.899,7.167,82.056,296.6894400000011,913.143,6.427231312819733,2.66,3.812,4.226,4.767,5.553,7.51,84.19609999999952,558.912,320.4859404009887,175.867,181.245,295.105,430.853,540.17,546.859,610.2748,913.143,188.0129053742462,78.034,82.58675,178.435,248.764,355.1986,416.8725500000001,533.0018200000001,840.799,1000,96,90,50000,30,2009.0,0.0,6933.0,902.0,0.0,780.0,0.0,2257.0,169.0,0.0,0,0,0,13578,0,2789,0,9190,14649,0,5850.919152413003,5.0,1.0
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr5-20240513-234414/2-eu-west-1-0,2-eu-west-1-0,1000,F,5,20240513-234414,24089,11750,9237.0,3102.0,0,5,433156,412405,18218.0,2533.0,457250,19.888084631667493,2.763,4.003,4.397,5.045,7.026,87.646,396.763,949.058,7.143882522397039,2.839,3.985,4.35,4.927,5.637,7.239,115.84196000000026,444.711,425.310885601578,225.843,232.257,457.91700000000003,684.11825,693.8208000000001,700.6275,764.033,949.058,231.70842093564778,80.458,85.714,227.71949999999998,310.00649999999996,455.834,536.32075,682.5321,888.071,1000,96,90,50000,30,1048.0,0.0,7396.0,797.0,0.0,447.0,0.0,2486.0,170.0,0.0,0,0,0,11750,0,1495,0,9882,12717,0,4812.8114669533215,4.0,1.0
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr5-20240513-234414/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,5,20240513-234414,26748,9140,13417.0,4191.0,0,0,330142,316661,12194.0,1287.0,356890,25.906445777654664,1.928,3.053,3.467,4.036,6.373,177.343,603.8754099999984,1058.142,7.144707522648458,1.989,3.036,3.418,3.927,4.699,6.828349999999976,148.59280000000075,543.382,520.4514055437099,221.314,303.301,664.924,671.701,682.672,695.8194,786.7093199999997,1046.474,359.4044404428251,173.052,202.7815,350.7425,526.5074999999999,621.4887,651.6784999999992,695.924249999999,1058.142,1000,96,90,50000,30,4450.0,0.0,8246.0,721.0,0.0,1342.0,0.0,2708.0,141.0,0.0,0,0,0,9140,0,5792,0,10954,10002,0,3668.202408434398,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr5-20240430-153607/1-us-east-1-0,1-us-east-1-0,100000,F,5,20240430-153607,1565,945,510.0,110.0,0,0,699276,664407,29983.0,4886.0,700841,12.375618521321217,3.115,4.475,4.976,5.616,6.766,81.565,182.32481999999993,596.461,5.3701489782216205,3.183,4.45,4.924,5.491,6.176,6.824,10.673060000000056,250.248,190.7771513846154,177.516,181.4475,182.648,184.46050000000002,195.7338,241.91520000000008,363.216,596.461,138.17248840860503,79.911,83.82175000000001,176.974,180.881,183.4205,194.57,265.01020000000005,540.306,1000,96,90,50000,30,42.0,0.0,444.0,24.0,0.0,9.0,0.0,95.0,6.0,0.0,0,0,0,945,0,51,0,539,975,0,7769.664099324148,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr5-20240430-153607/2-eu-west-1-0,2-eu-west-1-0,100000,F,5,20240430-153607,1480,875,486.0,119.0,0,0,641594,609745,27195.0,4654.0,643074,13.490275904876258,2.986,4.226,4.625,5.255,6.195,81.80859999999987,231.60712,697.376,5.0209351204568975,3.054,4.206,4.58,5.143,5.702,6.246,9.234,301.414,241.4385851819944,226.818,230.77550000000002,232.223,234.061,243.3426,288.5928999999995,463.51122,697.376,163.92267658869036,80.337,84.543,226.162,229.877,232.5222,243.19219999999999,313.95296000000013,686.859,1000,96,90,50000,30,28.0,0.0,439.0,19.0,0.0,8.0,0.0,108.0,3.0,0.0,0,0,0,875,0,36,0,547,897,0,7128.787739879881,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot100000-F-mr5-20240430-153607/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,5,20240430-153607,1701,881,671.0,149.0,0,0,585399,556095,25206.0,4098.0,587100,14.777420354771444,2.224,3.397,3.888,4.402,5.248,174.87,228.161,791.704,4.207618206374543,2.266,3.377,3.835,4.313,4.813,5.284,7.68,255.356,239.41309146490585,222.499,226.488,227.762,229.828,249.1404,292.657,454.8906,683.404,211.16337261298537,172.376,177.98675,224.002,226.85,230.281,257.182,406.4325,791.704,1000,96,90,50000,30,58.0,0.0,590.0,23.0,0.0,15.0,0.0,130.0,4.0,0.0,0,0,0,881,0,73,0,720,908,0,6504.400486110879,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr50-20240430-163636/1-us-east-1-0,1-us-east-1-0,1000,F,50,20240430-163636,40903,2230,29215.0,9458.0,0,0,86687,46283,35917.0,4487.0,127590,124.0048805047755,1.301,3.952,79.551,179.36475000000002,358.389,495.9905,538.7529999999999,904.638,7.743126084504597,2.577,3.64,3.955,4.521,5.393,7.555549999999996,133.67350000000008,388.599,381.9941186337297,174.928,181.04925,360.40999999999997,532.6822500000001,537.2919,552.4958999999998,686.8724900000001,904.638,216.96352539854433,77.512,81.923,177.928,322.106,431.3268,475.6697,540.9088000000002,855.177,1000,128,90,50000,30,23439.0,0.0,2211.0,3565.0,0.0,7801.0,0.0,846.0,811.0,0.0,0,0,0,2230,0,31240,0,3057,6606,0,963.1880196652116,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr50-20240430-163636/2-eu-west-1-0,2-eu-west-1-0,1000,F,50,20240430-163636,35186,2175,24721.0,8290.0,0,0,71114,38071,29429.0,3614.0,106300,150.3925141924403,1.177,3.758,80.556,228.708,460.1332,670.6273999999999,687.8367999999999,1150.872,8.589243834893843,2.561,3.523,3.759,4.309,5.313,7.700699999999961,170.09104000000013,393.213,497.0799048057448,96.733,231.5685,463.584,683.091,687.37,696.2929999999999,864.7881999999996,1139.948,257.7698517535024,78.495,82.6735,226.768,383.3375,531.607,608.4576999999996,682.1216000000001,1150.872,1000,128,90,50000,30,19361.0,0.0,2251.0,3109.0,0.0,6712.0,0.0,849.0,729.0,0.0,0,0,0,2175,0,26073,0,3100,6013,0,790.151339562612,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot1000-F-mr50-20240430-163636/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,50,20240430-163636,32562,1973,23506.0,7083.0,0,0,54337,29671,22119.0,2547.0,86899,192.04809079654012,0.8,3.011,173.779,349.36199999999997,587.979,664.8645,685.8288000000005,1194.831,8.474783026204564,1.747,2.745,3.009,3.612,4.801,7.338299999999999,170.76155999999975,453.628,503.4820030609843,221.178,229.348,590.023,668.7115,672.2583999999999,680.4541999999999,826.4587799999999,1001.986,351.7340017412839,171.929,177.626,273.527,516.9945,618.7116,663.1949999999999,727.6829399999996,1194.831,1000,128,90,50000,30,17564.0,0.0,3016.0,2926.0,0.0,5370.0,0.0,1070.0,643.0,0.0,0,0,0,1973,0,22934,0,4086,5542,0,603.742951569248,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot10000-F-mr15-20240430-161215/1-us-east-1-0,1-us-east-1-0,10000,F,15,20240430-161215,3876,1347,1919.0,610.0,0,0,332651,282758,42865.0,7028.0,336527,26.0070276024309,2.497,3.9,4.322,5.136,83.065,178.753,187.45919999999938,666.197,4.748218112974322,2.802,3.84,4.178,4.681,5.231,5.675,8.62,254.079,197.6662132174904,176.185,179.456,180.405,181.797,219.292,358.142,416.5400000000008,666.197,137.7899980608383,78.309,81.78125,176.03300000000002,178.688,180.5619,203.61114999999984,354.78788,581.503,1000,96,90,50000,30,700.0,0.0,1004.0,215.0,0.0,244.0,0.0,331.0,35.0,0.0,0,0,0,1347,0,944,0,1335,1597,0,3696.0871420842095,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot10000-F-mr15-20240430-161215/2-eu-west-1-0,2-eu-west-1-0,10000,F,15,20240430-161215,3798,1290,1917.0,591.0,0,0,281551,239345,36235.0,5971.0,285349,30.707452058113972,2.321,3.743,4.099,5.013,84.123,228.067,248.33479999999713,824.88,4.7118279266158245,2.677,3.686,3.98,4.504,5.107,5.588,8.527,310.109,254.13867969143053,225.546,228.964,230.137,231.848,292.05340000000007,458.2439,489.25828,749.039,165.3073157108887,79.191,82.65,224.90050000000002,227.97175000000001,230.148,276.765,454.12829999999997,824.88,1000,96,90,50000,30,581.0,0.0,1128.0,208.0,0.0,185.0,0.0,378.0,28.0,0.0,0,0,0,1290,0,766,0,1506,1526,0,3128.3358339781357,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot10000-F-mr15-20240430-161215/3-ap-northeast-1-0,3-ap-northeast-1-0,10000,F,15,20240430-161215,4056,1232,2157.0,667.0,0,0,235555,200251,30288.0,5016.0,239611,36.703655690165434,1.646,2.97,3.358,4.204,177.786,224.928,349.8661400000001,743.965,4.0703629029025015,1.972,2.927,3.206,3.728,4.344,4.876,7.5694699999999715,349.214,256.14809401197607,221.337,224.86325,225.9955,227.778,446.9302,450.26865,671.59341,743.965,215.79429893156032,172.728,176.297,222.726,225.08,229.613,374.332,449.57120000000003,734.799,1000,96,90,50000,30,558.0,0.0,1384.0,215.0,0.0,194.0,0.0,441.0,32.0,0.0,0,0,0,1232,0,752,0,1825,1479,0,2617.2620637654277,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot0-F-mr15-20240426-161224/1-us-east-1-0,1-us-east-1-0,1000000,F,15,20240426-161224,750,369,319.0,62.0,0,0,348898,296364,45029.0,7505.0,349648,24.7943807624738,2.381,3.879,4.356,5.236,81.334,177.085,179.687,434.6,4.519280332573277,2.681,3.81,4.195,4.743,5.335,5.777,7.091,210.505,181.46105213206792,174.654,177.346,178.226,179.221,180.559,184.613,255.96519999999995,425.994,131.88140344283073,76.969,80.277,174.311,177.094,178.4026,179.56650000000002,243.50911999999994,434.6,1000,96,90,50000,30,0.0,0.0,293.0,26.0,0.0,0.0,0.0,60.0,2.0,0.0,0,0,0,369,0,0,0,353,397,0,3876.64066614123,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot0-F-mr15-20240426-161224/2-eu-west-1-0,2-eu-west-1-0,1000000,F,15,20240426-161224,711,353,293.0,65.0,0,0,300405,255102,38857.0,6446.0,301116,28.797372935761434,2.27,3.638,4.047,4.853,81.508,225.903,228.738,540.715,4.22864117422438,2.593,3.569,3.921,4.357,4.937,5.302,6.339779999999998,277.606,231.43142303501944,223.304,226.379,227.367,228.47,229.8102,236.84999999999994,333.95440000000673,525.273,156.19101196092078,77.411,80.538,222.366,225.868,227.3016,228.40040000000002,291.2690800000005,540.715,1000,96,90,50000,30,0.0,0.0,273.0,20.0,0.0,0.0,0.0,62.0,3.0,0.0,0,0,0,353,0,0,0,335,376,0,3337.803744222355,,
ycsb/throughput-sunstorm/ycsb-throughput-sunstorm-hot0-F-mr15-20240426-161224/3-ap-northeast-1-0,3-ap-northeast-1-0,1000000,F,15,20240426-161224,852,388,386.0,78.0,0,0,250993,213135,32474.0,5384.0,251845,34.45152256775121,1.628,2.936,3.3025,4.163,177.144,224.674,227.60321,677.862,3.596470749766846,1.953,2.893,3.164,3.679,4.287,4.807,5.842950000000012,232.953,230.51593160641073,221.642,224.78425,225.77249999999998,226.90275,228.3675,236.90775,448.08835,677.862,204.23880242570132,171.917,175.982,222.096,224.732,226.23579999999998,227.682,350.98979999999995,650.557,1000,96,90,50000,30,0.0,0.0,358.0,28.0,0.0,0.0,0.0,76.0,2.0,0.0,0,0,0,388,0,0,0,434,418,0,2788.8089259863573,,
