path,region,hot,workload,mr,suffix,rejected,aborted,unexpected,completed,completed.WorkloadC1,completed.WorkloadC2,completed.WorkloadC3,total,ood_index_page,ood_table,ood_tuple,other_aborts,deadlock,throughput.WorkloadC2,avg.WorkloadC2,p0.WorkloadC2,p25.WorkloadC2,p50.WorkloadC2,p75.WorkloadC2,p90.WorkloadC2,p95.WorkloadC2,p99.WorkloadC2,p100.WorkloadC2,throughput.WorkloadC3,avg.WorkloadC3,p0.WorkloadC3,p25.WorkloadC3,p50.WorkloadC3,p75.WorkloadC3,p90.WorkloadC3,p95.WorkloadC3,p99.WorkloadC3,p100.WorkloadC3,throughput.WorkloadC1,avg.WorkloadC1,p0.WorkloadC1,p25.WorkloadC1,p50.WorkloadC1,p75.WorkloadC1,p90.WorkloadC1,p95.WorkloadC1,p99.WorkloadC1,p100.WorkloadC1,scalefactor,terminals,time,rate,warmup,throughput,avg,p0,p25,p50,p75,p90,p95,p99,p100
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr0-20240605-114746/1-us-east-1-0,1-us-east-1-0,1000,F,0,20240605-114746,0,0,0,1900394,1900394,,,1900394,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,21111.6,3.028250663700167,1.323,2.488,2.905,3.447,4.03,4.46,5.593,209.54,1000,64,90,50000,30,21115.29102125056,3.028250663700167,1.323,2.488,2.905,3.447,4.03,4.46,5.593,209.54
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr0-20240605-114746/3-ap-northeast-1-0,3-ap-northeast-1-0,1000,F,0,20240605-114746,0,0,0,1900997,1900997,,,1900997,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,21125.1,3.0268711248634235,1.112,2.427,2.898,3.507,4.165,4.622,5.797,21.08,1000,64,90,50000,30,21121.938896191383,3.0268711248634235,1.112,2.427,2.898,3.507,4.165,4.622,5.797,21.08
read-only/sunstorm/ycsb-read-only-sunstorm-hot1000-F-mr0-20240605-114746/2-eu-west-1-0,2-eu-west-1-0,1000,F,0,20240605-114746,0,0,0,1832741,1832741,,,1832741,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,20378.2,3.1388224880870985,0.919,2.457,2.968,3.617,4.36,4.938,6.511,59.368,1000,64,90,50000,30,20363.777466619842,3.1388224880870985,0.919,2.457,2.968,3.617,4.36,4.938,6.511,59.368
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr15-20240605-114746/1-us-east-1-0,1-us-east-1-0,100000,F,15,20240605-114746,0,0,0,412046,350101,53166.0,8779.0,412046,0,0,0,0,0,590.0999999999999,124.46109982295552,76.101,78.847,149.2585,172.488,175.379,176.346,178.15806999999998,266.6,97.0,170.7866742778856,149.372,165.452,173.509,176.15550000000002,177.5512,178.292,180.9826,257.117,3896.5,1.489996809455665,0.937,1.202,1.324,1.643,2.112,2.329,2.916039999999979,16.493,1000,96,90,50000,30,4578.235121739534,20.93870986041995,0.937,1.22,1.401,2.009,79.568,166.845,176.52451000000002,266.6
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr15-20240605-114746/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,15,20240605-114746,0,0,0,287685,243976,37601.0,6108.0,287685,0,0,0,0,0,418.9,188.2030010926923,147.96,165.116,205.389,208.003,208.896,209.43,214.6149,538.945,66.9,209.4508255947498,205.896,208.239,208.903,209.6245,210.3382,210.8743,222.61450000000013,296.556,2717.7,1.1642662026789958,0.692,0.875,1.003,1.241,1.722,2.3,2.854,15.9,1000,96,90,50000,30,3196.4999623878502,29.98168964390155,0.692,0.891,1.113,1.635,174.179,208.0,209.657,538.945
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr15-20240605-114746/2-eu-west-1-0,2-eu-west-1-0,100000,F,15,20240605-114746,0,0,0,363628,309710,46264.0,7654.0,363628,0,0,0,0,0,514.3,143.65464532051698,75.426,78.211,158.171,208.1575,209.091,209.655,214.28629999999998,302.473,85.0,209.79472711797823,206.124,208.563,209.262,210.027,210.82,211.53220000000002,217.80860000000004,306.251,3445.8,1.2460001130111331,0.71,0.966,1.122,1.328,1.766,2.293,2.855,12.563,1000,96,90,50000,30,4040.285656368743,23.721832663974567,0.71,0.986,1.177,1.689,78.832,208.154,209.966,306.251
read-only/sunstorm/ycsb-read-only-sunstorm-hot10000-F-mr15-20240605-114746/1-us-east-1-0,1-us-east-1-0,10000,F,15,20240605-114746,0,0,0,409979,348193,53092.0,8694.0,409979,0,0,0,0,0,591.3,124.64838906806995,76.168,78.959,151.448,172.47750000000002,175.526,176.41910000000001,178.17564,257.399,96.69999999999999,170.794686484618,150.491,165.605,173.578,176.289,177.5994,178.3195,180.31132,251.378,3851.3,1.528618409753436,0.99,1.239,1.365,1.693,2.155,2.344,2.908,211.838,1000,96,90,50000,30,4555.29690828546,21.03844761797879,0.99,1.257,1.448,2.058,79.688,166.59389999999996,176.594,257.399
read-only/sunstorm/ycsb-read-only-sunstorm-hot10000-F-mr15-20240605-114746/3-ap-northeast-1-0,3-ap-northeast-1-0,10000,F,15,20240605-114746,0,0,0,292717,249067,37491.0,6159.0,292717,0,0,0,0,0,415.1,188.2881811985459,148.305,165.0355,205.7625,208.12824999999998,209.031,209.60645,215.82234,297.383,68.30000000000001,209.49327462152044,205.994,208.35750000000002,209.055,209.79,210.5356,211.1454,218.20657999999997,304.798,2766.7,1.1621691880866922,0.691,0.871,0.994,1.239,1.734,2.303,2.861,12.882,1000,96,90,50000,30,3252.3941068719664,29.459989037013745,0.691,0.886,1.104,1.621,174.003,208.1,209.827,304.798
read-only/sunstorm/ycsb-read-only-sunstorm-hot10000-F-mr15-20240605-114746/2-eu-west-1-0,2-eu-west-1-0,10000,F,15,20240605-114746,0,0,0,357862,303973,46217.0,7672.0,357862,0,0,0,0,0,514.2,143.8259647168462,75.312,78.319,155.842,208.356,209.333,209.946,215.535,290.576,85.8,210.01394395819725,206.195,208.82049999999998,209.531,210.3155,211.1402,211.98659999999998,219.125,288.062,3359.2,1.2492650820804685,0.732,0.963,1.123,1.332,1.785,2.299,2.868,12.448,1000,96,90,50000,30,3976.1987653870483,24.104218081092103,0.732,0.983,1.18,1.711,79.045,208.386,210.295,290.576
read-only/sunstorm/ycsb-read-only-sunstorm-hot0-F-mr5-20240604-233137/1-us-east-1-0,1-us-east-1-0,1000000,F,5,20240604-233137,0,0,0,973623,924510,42204.0,6909.0,973623,0,0,0,0,0,467.7,126.27800201746892,73.472,79.196,149.2055,174.71925,177.905,179.401,184.25576,304.534,77.0,174.05198188668308,150.942,167.589,175.976,178.674,180.688,182.252,195.179,314.271,10239.3,2.2727204752004875,1.126,1.76,1.973,2.338,3.298,4.029,6.382,31.417,1000,96,90,50000,30,10818.023820443987,8.857067088021186,1.126,1.771,1.999,2.487,3.982,75.582,176.69074,314.271
read-only/sunstorm/ycsb-read-only-sunstorm-hot0-F-mr5-20240604-233137/3-ap-northeast-1-0,3-ap-northeast-1-0,1000000,F,5,20240604-233137,0,0,0,796105,756502,34087.0,5516.0,796105,0,0,0,0,0,376.5,189.83486762674505,148.813,172.054,203.902,208.655,210.558,213.3846,217.90276,314.327,62.0,210.56457423223696,205.298,208.5895,209.555,211.01350000000002,214.467,216.5179,221.77694,291.105,8423.8,1.3253897427694814,0.677,1.023,1.19,1.435,1.879,2.308,3.059,14.813,1000,96,90,50000,30,8845.547022076138,10.82965190217699,0.677,1.031,1.207,1.506,2.295,6.810199999999954,209.57392000000004,314.327
read-only/sunstorm/ycsb-read-only-sunstorm-hot0-F-mr5-20240604-233137/2-eu-west-1-0,2-eu-west-1-0,1000000,F,5,20240604-233137,0,0,0,884063,839521,38244.0,6298.0,884063,0,0,0,0,0,423.29999999999995,146.14252940251987,74.031,79.449,207.418,210.467,212.155,214.9012,220.181,308.263,69.69999999999999,212.97525270528325,207.985,210.938,211.9155,213.16925,216.4056,219.0888,225.42086,303.012,9284.7,2.030302446915211,1.229,1.688,1.888,2.181,2.671,3.075,3.955,14.682,1000,96,90,50000,30,9822.906971067716,9.753838004133641,1.229,1.697,1.912,2.262,3.049,75.93209999999986,211.577,308.263
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr0-20240605-114746/1-us-east-1-0,1-us-east-1-0,100000,F,0,20240605-114746,0,0,0,1932003,1932003,,,1932003,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,21531.3,2.978682094517473,1.298,2.464,2.869,3.377,3.921,4.32,5.412,214.317,1000,64,90,50000,30,21466.579650483403,2.978682094517473,1.298,2.464,2.869,3.377,3.921,4.32,5.412,214.317
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr0-20240605-114746/3-ap-northeast-1-0,3-ap-northeast-1-0,100000,F,0,20240605-114746,0,0,0,1929258,1929258,,,1929258,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,21473.8,2.982901311117493,1.076,2.322,2.776,3.434,4.122,4.612,5.844,1153.214,1000,64,90,50000,30,21436.1508142756,2.982901311117493,1.076,2.322,2.776,3.434,4.122,4.612,5.844,1153.214
read-only/sunstorm/ycsb-read-only-sunstorm-hot100000-F-mr0-20240605-114746/2-eu-west-1-0,2-eu-west-1-0,100000,F,0,20240605-114746,0,0,0,1874023,1874023,,,1874023,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,20814.9,3.070146964261224,1.026,2.426,2.912,3.578,4.302,4.83,6.114,28.251,1000,64,90,50000,30,20822.421341381054,3.070146964261224,1.026,2.426,2.912,3.578,4.302,4.83,6.114,28.251
read-only/sunstorm/ycsb-read-only-sunstorm-hot10000-F-mr0-20240605-114746/1-us-east-1-0,1-us-east-1-0,10000,F,0,20240605-114746,0,0,0,1902116,1902116,,,1902116,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,21136.2,3.025348443155076,1.123,2.489,2.912,3.442,4.012,4.428,5.545,25.689,1000,64,90,50000,30,21134.550857888826,3.025348443155076,1.123,2.489,2.912,3.442,4.012,4.428,5.545,25.689
read-only/sunstorm/ycsb-read-only-sunstorm-hot10000-F-mr0-20240605-114746/3-ap-northeast-1-0,3-ap-northeast-1-0,10000,F,0,20240605-114746,0,0,0,1901361,1901361,,,1901361,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,21134.300000000003,3.026296694153151,1.051,2.436,2.895,3.497,4.143,4.604,5.814,24.382,1000,64,90,50000,30,21126.07768531285,3.026296694153151,1.051,2.436,2.895,3.497,4.143,4.604,5.814,24.382
read-only/sunstorm/ycsb-read-only-sunstorm-hot10000-F-mr0-20240605-114746/2-eu-west-1-0,2-eu-west-1-0,10000,F,0,20240605-114746,0,0,0,1838826,1838826,,,1838826,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,20443.1,3.128628451643008,1.076,2.493,2.989,3.618,4.303,4.804,6.062389999999898,29.662,1000,64,90,50000,30,20431.164783264267,3.128628451643008,1.076,2.493,2.989,3.618,4.303,4.804,6.062389999999898,29.662
read-only/sunstorm/ycsb-read-only-sunstorm-hot0-F-mr0-20240604-122711/1-us-east-1-0,1-us-east-1-0,1000000,F,0,20240604-122711,0,0,0,1989853,1989853,,,1989853,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,22110.0,2.8925,1.393,2.4285,2.8005,3.243,3.711,4.0515,5.1355,17.844,1000,64,90,50000,30,22109.216825885134,2.891,1.264,2.428,2.803,3.241,3.71,4.053,5.138,27.989
read-only/sunstorm/ycsb-read-only-sunstorm-hot0-F-mr0-20240604-122711/3-ap-northeast-1-0,3-ap-northeast-1-0,1000000,F,0,20240604-122711,0,0,0,1895386,1895386,,,1895386,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,21077.699999999997,3.0345,1.1585,2.372,2.8395,3.573,4.3515,4.913,6.2010000000000005,22.012500000000003,1000,64,90,50000,30,21059.794287034383,3.035,0.928,2.371,2.842,3.569,4.344,4.907,6.194,33.511
read-only/sunstorm/ycsb-read-only-sunstorm-hot0-F-mr0-20240604-122711/2-eu-west-1-0,2-eu-west-1-0,1000000,F,0,20240604-122711,0,0,0,1655342,1655342,,,1655342,0,0,0,0,0,,,,,,,,,,,,,,,,,,,,,18423.8,3.4715,2.2510000000000003,3.1494999999999997,3.3895,3.662,3.9635,4.21,5.643000000000001,210.067,1000,64,90,50000,30,18392.621016438814,3.476,2.217,3.158,3.399,3.673,3.972,4.207,5.539,216.875
